loan_id,orig_upb,credit_score,ltv,dti,state,loan_purpose,property_type,vintage
139435542,350000.0,801.0,47,38,CA,P,CO,122024
139435543,121000.0,778.0,60,44,OR,C,SF,122024
139435544,750000.0,797.0,59,47,NJ,P,SF,122024
139435545,638000.0,787.0,75,49,CA,P,SF,12025
139435546,234000.0,764.0,95,37,IL,P,CO,12025
139435547,450000.0,754.0,88,38,NY,P,SF,122024
139435548,387000.0,780.0,97,36,TX,P,PU,12025
139435549,487000.0,771.0,97,28,NC,P,SF,122024
139435550,175000.0,808.0,73,11,FL,P,PU,122024
139435551,685000.0,770.0,80,24,NY,P,SF,12025
139435552,195000.0,635.0,29,44,AZ,C,PU,122024
139435553,508000.0,787.0,95,49,TX,P,PU,122024
139435554,363000.0,809.0,89,37,NJ,R,SF,122024
139435555,270000.0,720.0,60,42,CA,C,PU,122024
139435556,300000.0,631.0,41,50,WA,P,SF,112024
139435557,197000.0,763.0,46,28,MO,C,SF,102024
139435558,124000.0,693.0,75,34,FL,P,CO,122024
139435559,398000.0,731.0,97,31,TX,P,SF,122024
139435560,469000.0,764.0,75,28,CA,P,SF,12025
139435561,450000.0,785.0,63,48,NJ,P,CO,112024
139435562,179000.0,750.0,68,44,NM,C,SF,12025
139435563,207000.0,735.0,90,32,LA,P,CO,122024
139435564,150000.0,683.0,43,17,NC,C,MH,122024
139435565,152000.0,783.0,45,46,CO,P,CO,122024
139435566,431000.0,806.0,58,37,OR,P,PU,112024
139435567,175000.0,776.0,48,44,WA,C,SF,122024
139435568,340000.0,741.0,80,47,VA,P,SF,112024
139435569,285000.0,807.0,59,34,NC,P,PU,122024
139435570,335000.0,746.0,75,40,OK,P,PU,122024
139435571,254000.0,731.0,45,24,MD,C,CO,122024
139435572,347000.0,697.0,95,40,GA,P,SF,122024
139435573,178000.0,696.0,80,48,MO,P,SF,122024
139435574,352000.0,770.0,90,39,NH,R,SF,122024
139435575,125000.0,663.0,55,44,MI,C,SF,122024
139435576,145000.0,758.0,94,17,WI,P,SF,122024
139435577,305000.0,714.0,64,37,OR,P,SF,12025
139435578,500000.0,745.0,34,18,FL,P,PU,122024
139435579,296000.0,810.0,97,43,CA,P,SF,12025
139435580,256000.0,787.0,82,36,FL,P,SF,122024
139435581,230000.0,799.0,97,27,NY,P,SF,122024
139435582,292000.0,707.0,80,39,CT,P,SF,112024
139435583,367000.0,776.0,79,34,IL,R,SF,12025
139435584,304000.0,784.0,80,45,SC,P,PU,122024
139435585,368000.0,737.0,80,48,MO,P,SF,12025
139435586,420000.0,746.0,39,38,MA,C,CO,122024
139435587,47000.0,808.0,80,14,KS,P,SF,122024
139435588,407000.0,789.0,80,20,VA,P,SF,122024
139435589,556000.0,816.0,90,47,TX,P,SF,12025
139435590,312000.0,810.0,80,30,TX,P,SF,92024
139435591,631000.0,754.0,83,38,NJ,P,SF,12025
139435592,495000.0,759.0,89,43,CA,P,PU,122024
139435593,138000.0,757.0,95,31,IL,P,SF,102024
139435594,310000.0,773.0,80,50,NC,P,PU,122024
139435595,125000.0,693.0,39,45,TX,C,SF,122024
139435596,59000.0,637.0,60,21,MI,C,SF,122024
139435597,480000.0,775.0,80,34,NJ,P,SF,12025
139435598,135000.0,661.0,65,23,MT,P,SF,122024
139435599,269000.0,770.0,80,36,GA,P,SF,122024
139435600,253000.0,781.0,80,43,IN,P,SF,92024
139435601,500000.0,799.0,30,35,WA,C,SF,122024
139435602,183000.0,704.0,95,36,NM,P,SF,122024
139435603,300000.0,803.0,38,14,OH,P,PU,122024
139435604,344000.0,750.0,75,27,CO,P,PU,122024
139435605,200000.0,776.0,97,43,TN,P,SF,122024
139435606,255000.0,716.0,60,32,OR,C,MH,122024
139435607,553000.0,680.0,29,10,GA,R,SF,102023
139435608,255000.0,734.0,95,49,IN,P,PU,122024
139435609,128000.0,636.0,50,40,TX,C,SF,102024
139435610,130000.0,699.0,18,30,MA,P,SF,122024
139435611,135000.0,804.0,90,42,WI,P,CO,122024
139435612,300000.0,750.0,59,47,PA,C,SF,122024
139435613,344000.0,755.0,97,34,MI,P,SF,122024
139435614,285000.0,761.0,95,44,PA,P,SF,12025
139435615,370000.0,722.0,43,41,CA,C,SF,122024
139435616,662000.0,798.0,90,37,FL,P,PU,122024
139435617,132000.0,785.0,78,50,KS,P,SF,112024
139435618,467000.0,760.0,75,45,CA,C,SF,112024
139435619,111000.0,798.0,23,17,NH,C,SF,122024
139435620,803000.0,812.0,72,41,MA,P,SF,112024
139435621,200000.0,685.0,43,40,NJ,C,SF,122024
139435622,150000.0,762.0,60,44,NY,C,SF,122024
139435623,807000.0,764.0,34,45,UT,C,SF,12025
139435624,116000.0,681.0,97,19,OH,P,SF,112024
139435625,340000.0,744.0,63,19,DE,P,PU,122024
139435626,551000.0,711.0,66,41,CA,C,SF,12025
139435627,680000.0,793.0,75,50,UT,P,PU,122024
139435628,489000.0,773.0,85,30,FL,P,SF,92024
139435629,156000.0,752.0,80,28,OH,P,SF,122024
139435630,723000.0,810.0,66,47,ID,P,PU,122024
139435631,720000.0,789.0,80,36,TX,P,SF,122024
139435632,367000.0,785.0,95,39,IL,P,PU,122024
139435633,218000.0,789.0,80,42,NY,P,CP,122024
139435634,133000.0,763.0,50,41,FL,C,SF,122024
139435635,218000.0,748.0,97,33,TX,P,PU,122024
139435636,140000.0,672.0,40,40,CA,C,SF,122024
139435637,328000.0,810.0,92,49,WA,P,SF,122024
139435638,204000.0,678.0,95,22,MN,P,SF,12025
139435639,441000.0,787.0,97,37,CA,P,SF,122024
139435640,352000.0,811.0,95,47,CA,P,CO,12025
139435641,450000.0,749.0,60,39,OR,C,SF,112024
139435642,539000.0,704.0,80,48,MA,P,SF,12025
139435643,382000.0,739.0,83,48,TX,R,PU,122024
139435644,275000.0,707.0,54,27,MA,C,SF,122024
139435645,549000.0,686.0,60,35,CA,C,SF,122024
139435646,402000.0,776.0,94,32,MD,P,SF,122024
139435647,100000.0,778.0,80,26,IL,P,SF,122024
139435648,424000.0,,80,32,WA,P,SF,122024
139435649,310000.0,750.0,18,39,AZ,C,PU,122024
139435650,698000.0,773.0,92,24,UT,P,SF,12025
139435651,676000.0,728.0,80,49,CA,P,SF,122024
139435652,351000.0,762.0,90,37,MD,P,CO,112024
139435653,608000.0,786.0,95,38,WA,P,PU,122024
139435654,290000.0,705.0,55,43,MD,P,PU,122024
139435655,394000.0,781.0,95,36,TX,P,PU,122024
139435656,765000.0,788.0,80,29,CA,R,SF,122024
139435657,363000.0,810.0,42,8,CO,P,PU,12025
139435658,185000.0,715.0,79,45,OH,P,SF,12025
139435659,214000.0,812.0,53,26,MD,R,SF,122024
139435660,620000.0,722.0,80,36,CA,P,SF,122024
139435661,133000.0,784.0,21,35,FL,P,PU,12025
139435662,342000.0,685.0,80,35,VA,P,SF,122024
139435663,324000.0,693.0,80,36,NC,P,PU,112024
139435664,220000.0,755.0,88,48,WA,P,SF,12025
139435665,559000.0,727.0,79,26,TX,R,PU,12025
139435666,599000.0,788.0,93,36,OR,P,PU,122024
139435667,807000.0,761.0,67,46,VA,P,SF,122024
139435668,875000.0,747.0,70,35,NY,P,SF,122024
139435669,96000.0,794.0,12,45,WA,C,SF,122024
139435670,473000.0,798.0,90,35,AZ,P,SF,122024
139435671,802000.0,752.0,59,23,CA,P,PU,112024
139435672,293000.0,730.0,80,31,TX,P,PU,122024
139435673,396000.0,749.0,95,37,GA,P,PU,122024
139435674,566000.0,742.0,73,28,MI,R,CO,122024
139435675,395000.0,784.0,86,36,NV,R,PU,122024
139435676,318000.0,726.0,95,36,NC,P,PU,12025
139435677,127000.0,728.0,30,37,NC,R,PU,12025
139435678,572000.0,779.0,90,50,NM,P,PU,12025
139435679,588000.0,732.0,94,37,ID,P,PU,122024
139435680,154000.0,776.0,80,26,NC,P,SF,122024
139435681,78000.0,728.0,30,45,TX,C,MH,122024
139435682,233000.0,796.0,75,45,VA,P,PU,122024
139435683,400000.0,772.0,62,24,AL,P,SF,122024
139435684,122000.0,750.0,70,45,OK,C,SF,122024
139435685,300000.0,713.0,80,42,GA,P,PU,12025
139435686,170000.0,812.0,34,38,FL,C,PU,122024
139435687,244000.0,790.0,55,43,GA,P,PU,122024
139435688,170000.0,708.0,68,41,TX,C,SF,122024
139435689,155000.0,736.0,97,44,KS,P,SF,122024
139435690,305000.0,790.0,94,34,MO,P,SF,112024
139435691,246000.0,772.0,95,42,TX,P,PU,122024
139435692,240000.0,704.0,80,28,AL,P,SF,122024
139435693,250000.0,773.0,50,47,CO,C,SF,122024
139435694,138000.0,720.0,56,45,MO,C,SF,122024
139435695,551000.0,802.0,95,29,TX,P,PU,122024
139435696,336000.0,724.0,70,37,IA,P,PU,112024
139435697,348000.0,776.0,90,39,PA,P,SF,122024
139435698,376000.0,798.0,60,42,MI,C,SF,122024
139435699,380000.0,749.0,55,50,FL,C,PU,122024
139435700,456000.0,796.0,97,41,AZ,P,PU,112024
139435701,78000.0,713.0,55,48,FL,P,CO,102024
139435702,532000.0,787.0,80,46,NY,P,SF,122024
139435703,121000.0,722.0,50,50,TX,P,SF,102024
139435704,130000.0,806.0,58,39,MI,P,SF,12025
139435705,310000.0,792.0,31,49,TX,C,SF,12025
139435706,217000.0,636.0,70,42,TN,P,PU,122024
139435707,140000.0,775.0,67,39,KS,C,SF,122024
139435708,719000.0,711.0,75,46,CA,P,SF,122024
139435709,253000.0,814.0,95,46,CA,P,MH,122024
139435710,686000.0,770.0,95,48,GA,P,PU,122024
139435711,630000.0,806.0,78,34,NC,P,PU,122024
139435712,227000.0,738.0,80,49,CO,P,SF,122024
139435713,600000.0,729.0,27,24,MA,P,PU,122024
139435714,140000.0,751.0,85,45,VA,P,SF,122024
139435715,300000.0,802.0,80,46,OH,P,PU,122024
139435716,772000.0,748.0,86,44,TX,P,PU,122024
139435717,38000.0,744.0,75,48,OH,P,SF,122024
139435718,430000.0,762.0,95,37,NC,P,PU,122024
139435719,100000.0,665.0,29,39,CA,C,PU,122024
139435720,173000.0,650.0,71,47,IN,R,SF,12025
139435721,557000.0,828.0,59,21,SC,R,PU,112024
139435722,252000.0,690.0,80,34,TX,P,SF,112024
139435723,399000.0,706.0,95,48,TX,P,SF,12025
139435724,255000.0,754.0,60,22,VA,C,SF,122024
139435725,793000.0,771.0,95,49,NY,P,SF,122024
139435726,629000.0,768.0,90,49,TX,P,PU,122024
139435727,277000.0,774.0,77,42,PA,P,SF,102024
139435728,293000.0,802.0,93,38,PA,P,SF,122024
139435729,357000.0,799.0,97,50,NC,P,SF,12025
139435730,470000.0,806.0,75,41,CO,P,PU,122024
139435731,602000.0,789.0,90,49,CO,P,PU,12025
139435732,215000.0,767.0,43,39,MI,C,SF,122024
139435733,450000.0,732.0,42,50,VA,R,PU,12025
139435734,682000.0,754.0,73,50,FL,P,SF,12025
139435735,554000.0,789.0,90,42,CO,P,PU,122024
139435736,175000.0,789.0,22,44,FL,P,PU,122024
139435737,404000.0,766.0,75,17,FL,P,CO,112024
139435738,440000.0,779.0,80,33,PA,P,SF,112024
139435739,246000.0,803.0,95,28,TN,P,SF,122024
139435740,770000.0,806.0,89,43,VA,P,PU,122024
139435741,88000.0,724.0,95,49,IL,P,SF,122024
139435742,233000.0,763.0,97,43,SC,P,SF,122024
139435743,455000.0,798.0,95,47,WA,P,PU,112024
139435744,160000.0,793.0,80,46,KS,P,CO,122024
139435745,351000.0,711.0,90,25,AZ,P,PU,122024
139435746,180000.0,774.0,79,40,FL,R,SF,122024
139435747,410000.0,718.0,69,41,PA,C,SF,122024
139435748,121000.0,792.0,33,17,TN,C,SF,12025
139435749,272000.0,814.0,36,15,WI,P,SF,122024
139435750,788000.0,685.0,80,50,CO,P,SF,112024
139435751,312000.0,665.0,58,44,NY,C,SF,122024
139435752,214000.0,786.0,95,48,PA,P,CO,102024
139435753,882000.0,800.0,90,46,MA,P,SF,112024
139435754,403000.0,677.0,90,37,MN,P,PU,122024
139435755,432000.0,739.0,80,44,FL,P,PU,122024
139435756,197000.0,816.0,75,24,TX,P,PU,122024
139435757,44000.0,768.0,97,39,OH,P,SF,102024
139435758,252000.0,745.0,70,41,DE,P,PU,122024
139435759,675000.0,808.0,90,49,NV,P,PU,122024
139435760,150000.0,744.0,45,26,OH,C,SF,122024
139435761,746000.0,748.0,90,38,CA,P,SF,12025
139435762,807000.0,765.0,77,40,MO,P,SF,122024
139435763,145000.0,678.0,32,33,FL,C,SF,12025
139435764,135000.0,804.0,75,22,MD,P,SF,122024
139435765,81000.0,715.0,60,24,KY,C,SF,122024
139435766,220000.0,772.0,55,44,UT,P,PU,112024
139435767,320000.0,793.0,80,41,OK,P,SF,122024
139435768,404000.0,809.0,95,18,FL,P,PU,112024
139435769,176000.0,808.0,75,50,FL,P,PU,112024
139435770,662000.0,724.0,70,37,UT,P,PU,122024
139435771,147000.0,704.0,36,47,UT,P,SF,102024
139435772,60000.0,807.0,75,20,OK,P,SF,112024
139435773,549000.0,780.0,95,41,ND,P,PU,122024
139435774,270000.0,774.0,80,50,TX,P,SF,112024
139435775,212000.0,809.0,59,39,MD,R,SF,102024
139435776,662000.0,807.0,90,42,GA,P,PU,12025
139435777,192000.0,796.0,75,47,NE,P,PU,122024
139435778,147000.0,632.0,63,44,AZ,C,SF,112024
139435779,40000.0,772.0,15,26,TX,C,SF,12025
139435780,210000.0,717.0,70,44,MI,R,SF,12025
139435781,646000.0,713.0,90,50,CO,P,PU,112024
139435782,456000.0,804.0,80,27,WI,P,PU,12025
139435783,143000.0,804.0,75,40,TX,P,SF,112024
139435784,132000.0,764.0,80,48,AL,P,SF,112024
139435785,390000.0,781.0,87,32,NC,P,PU,122024
139435786,296000.0,772.0,93,27,MN,P,SF,12025
139435787,280000.0,627.0,80,31,IL,P,SF,12025
139435788,220000.0,812.0,54,31,NC,P,CO,112024
139435789,500000.0,764.0,90,33,AR,P,SF,102024
139435790,175000.0,737.0,67,40,MN,C,SF,12025
139435791,206000.0,759.0,50,50,SC,P,PU,122024
139435792,313000.0,777.0,95,45,MN,P,SF,112024
139435793,803000.0,811.0,68,48,SC,P,PU,112024
139435794,360000.0,767.0,80,31,DE,P,PU,122024
139435795,261000.0,771.0,50,24,GA,R,SF,122024
139435796,579000.0,781.0,85,21,IN,R,PU,122024
139435797,170000.0,737.0,97,21,PA,P,SF,122024
139435798,324000.0,780.0,95,44,AL,P,PU,122024
139435799,429000.0,706.0,66,30,SC,C,PU,102024
139435800,186000.0,778.0,80,45,VA,P,CO,112024
139435801,365000.0,816.0,90,45,PA,P,SF,122024
139435802,310000.0,760.0,95,36,TX,P,PU,122024
139435803,63000.0,712.0,39,49,SC,C,MH,122024
139435804,280000.0,754.0,75,38,WI,R,SF,122024
139435805,223000.0,752.0,95,50,OH,P,SF,12025
139435806,231000.0,765.0,70,47,FL,P,PU,122024
139435807,368000.0,756.0,80,43,AZ,P,SF,92024
139435808,472000.0,785.0,90,30,TX,P,PU,112024
139435809,116000.0,766.0,29,32,CA,C,SF,122024
139435810,180000.0,706.0,80,29,FL,P,CO,82024
139435811,432000.0,700.0,80,44,FL,C,SF,122024
139435812,460000.0,756.0,80,19,CO,P,SF,122024
139435813,212000.0,796.0,28,46,FL,P,PU,12025
139435814,186000.0,671.0,31,44,NH,C,SF,112024
139435815,148000.0,772.0,75,5,AR,P,SF,122024
139435816,205000.0,734.0,36,44,IL,C,PU,112024
139435817,484000.0,676.0,80,48,OH,P,PU,112024
139435818,228000.0,732.0,95,30,MI,P,SF,122024
139435819,300000.0,740.0,35,49,FL,C,SF,122024
139435820,429000.0,807.0,95,43,NC,P,PU,112024
139435821,262000.0,708.0,44,45,MA,C,SF,112024
139435822,392000.0,794.0,80,43,FL,P,PU,12025
139435823,137000.0,746.0,70,38,OK,C,SF,122024
139435824,444000.0,796.0,80,37,TX,P,SF,122024
139435825,774000.0,792.0,95,27,MA,P,SF,122024
139435826,325000.0,758.0,90,49,NC,P,SF,122024
139435827,150000.0,716.0,95,32,AK,P,CO,12025
139435828,160000.0,763.0,97,20,WI,P,SF,122024
139435829,188000.0,779.0,75,42,KY,P,SF,122024
139435830,374000.0,778.0,75,44,FL,C,SF,122024
139435831,393000.0,802.0,97,30,OH,P,SF,102024
139435832,259000.0,720.0,69,49,IA,R,SF,112024
139435833,499000.0,744.0,75,43,NV,P,PU,122024
139435834,279000.0,794.0,67,43,MN,P,SF,122024
139435835,308000.0,713.0,80,45,IL,P,SF,112024
139435836,248000.0,788.0,22,44,CA,R,PU,102024
139435837,433000.0,700.0,80,44,CA,P,SF,12025
139435838,505000.0,796.0,57,37,IN,R,PU,122024
139435839,83000.0,727.0,95,32,SC,P,MH,12025
139435840,385000.0,801.0,95,49,NV,P,SF,122024
139435841,320000.0,743.0,97,43,NH,P,SF,102024
139435842,60000.0,713.0,15,42,FL,C,SF,12025
139435843,52000.0,742.0,97,31,PA,P,SF,112024
139435844,783000.0,708.0,90,45,GA,P,PU,122024
139435845,350000.0,792.0,57,41,ND,C,SF,12025
139435846,648000.0,718.0,69,50,NC,R,PU,122024
139435847,95000.0,684.0,50,31,TX,C,SF,122024
139435848,306000.0,760.0,97,40,WI,P,SF,112024
139435849,236000.0,792.0,75,23,VA,P,SF,122024
139435850,280000.0,634.0,80,41,TX,P,PU,102024
139435851,436000.0,702.0,97,50,FL,P,SF,112024
139435852,165000.0,768.0,75,17,TX,P,PU,12025
139435853,254000.0,761.0,80,17,TX,P,SF,122024
139435854,724000.0,753.0,49,26,FL,R,PU,102024
139435855,405000.0,719.0,58,39,CA,C,SF,122024
139435856,309000.0,763.0,95,40,MD,P,PU,12025
139435857,200000.0,808.0,32,29,CO,P,PU,112024
139435858,668000.0,759.0,80,26,SC,P,PU,122024
139435859,492000.0,716.0,95,44,CA,P,SF,112024
139435860,785000.0,725.0,66,46,CA,P,SF,92024
139435861,208000.0,802.0,80,21,WI,P,SF,122024
139435862,368000.0,762.0,80,29,MO,P,PU,12025
139435863,356000.0,755.0,75,31,GA,P,PU,122024
139435864,238000.0,814.0,95,20,PA,P,SF,122024
139435865,192000.0,789.0,80,30,MD,P,SF,122024
139435866,557000.0,798.0,80,48,CA,P,CO,122024
139435867,225000.0,763.0,97,33,NV,P,CO,122024
139435868,198000.0,727.0,90,23,NY,P,SF,122024
139435869,788000.0,780.0,84,34,NJ,R,SF,102024
139435870,225000.0,736.0,24,40,FL,C,PU,122024
139435871,599000.0,765.0,60,34,CA,P,CO,112024
139435872,393000.0,735.0,60,39,TX,R,PU,122024
139435873,111000.0,769.0,70,34,FL,P,SF,12025
139435874,540000.0,794.0,75,38,TX,P,SF,122024
139435875,450000.0,778.0,43,47,OH,C,SF,12025
139435876,238000.0,740.0,70,28,NY,P,SF,122024
139435877,150000.0,618.0,60,39,TX,C,SF,12025
139435878,280000.0,777.0,80,38,AZ,P,PU,122024
139435879,186000.0,701.0,57,37,MS,C,SF,122024
139435880,364000.0,810.0,80,37,WV,P,PU,122024
139435881,310000.0,746.0,45,13,NE,P,SF,122024
139435882,249000.0,728.0,63,29,MO,C,SF,122024
139435883,608000.0,766.0,95,45,CA,P,SF,122024
139435884,304000.0,744.0,95,38,NC,P,SF,122024
139435885,371000.0,756.0,78,38,NJ,P,CO,122024
139435886,165000.0,744.0,43,30,NY,C,SF,122024
139435887,353000.0,755.0,90,27,NC,P,SF,122024
139435888,712000.0,749.0,95,41,CA,P,CO,112024
139435889,180000.0,777.0,14,20,CA,R,SF,122024
139435890,336000.0,801.0,80,46,VA,P,SF,12025
139435891,429000.0,748.0,89,40,CO,R,SF,92024
139435892,279000.0,819.0,75,50,NC,P,PU,12025
139435893,212000.0,809.0,65,32,VA,P,SF,122024
139435894,64000.0,801.0,80,36,MN,P,SF,112024
139435895,40000.0,791.0,80,34,OH,P,SF,112024
139435896,530000.0,778.0,64,43,WA,R,SF,92024
139435897,164000.0,725.0,47,38,NC,C,SF,122024
139435898,484000.0,763.0,56,26,CT,P,SF,122024
139435899,684000.0,706.0,90,46,CT,P,PU,122024
139435900,300000.0,791.0,35,44,NJ,C,SF,122024
139435901,352000.0,765.0,80,49,NC,P,PU,12025
139435902,120000.0,806.0,95,50,VA,P,MH,122024
139435903,184000.0,785.0,80,30,MI,P,SF,112024
139435904,368000.0,780.0,80,50,FL,P,SF,122024
139435905,70000.0,790.0,20,48,WA,C,SF,12025
139435906,91000.0,773.0,69,40,IN,R,SF,122024
139435907,420000.0,791.0,80,45,NV,P,PU,122024
139435908,179000.0,775.0,97,38,IL,P,CO,122024
139435909,429000.0,786.0,33,15,GA,R,PU,122024
139435910,315000.0,799.0,53,50,MS,R,SF,122024
139435911,248000.0,751.0,80,28,TX,P,PU,12025
139435912,165000.0,742.0,54,45,NV,C,SF,122024
139435913,490000.0,712.0,97,34,TX,P,SF,122024
139435914,308000.0,762.0,97,34,PA,P,SF,112024
139435915,567000.0,765.0,92,49,TX,P,PU,122024
139435916,214000.0,680.0,45,50,MD,R,SF,122024
139435917,755000.0,809.0,49,42,CO,P,SF,122024
139435918,456000.0,769.0,97,50,CA,P,SF,122024
139435919,271000.0,696.0,95,49,TN,P,SF,122024
139435920,550000.0,797.0,70,50,CA,P,SF,122024
139435921,288000.0,806.0,27,41,TX,P,SF,122024
139435922,496000.0,714.0,96,47,CA,P,SF,122024
139435923,398000.0,791.0,75,50,FL,P,CO,12025
139435924,250000.0,779.0,27,20,CA,P,CO,122024
139435925,334000.0,722.0,80,39,NV,P,PU,122024
139435926,266000.0,711.0,51,43,TN,R,SF,12025
139435927,194000.0,793.0,97,45,AR,P,SF,122024
139435928,72000.0,678.0,95,25,GA,P,SF,122024
139435929,100000.0,797.0,21,40,NM,P,SF,12025
139435930,609000.0,774.0,80,43,CA,P,SF,122024
139435931,185000.0,727.0,50,45,WY,P,SF,122024
139435932,413000.0,748.0,75,40,MA,P,CO,12025
139435933,95000.0,679.0,70,17,AL,C,SF,122024
139435934,300000.0,785.0,52,31,CA,C,SF,102024
139435935,650000.0,788.0,66,31,WA,R,SF,122024
139435936,205000.0,721.0,88,40,SC,P,CO,12025
139435937,135000.0,798.0,75,39,MI,P,SF,122024
139435938,410000.0,801.0,90,46,OH,P,PU,112024
139435939,246000.0,773.0,52,34,NV,P,PU,102024
139435940,192000.0,808.0,80,47,FL,P,CO,112024
139435941,82000.0,801.0,80,21,IL,P,SF,102024
139435942,452000.0,730.0,80,27,TX,P,PU,122024
139435943,486000.0,761.0,90,49,NV,P,PU,12025
139435944,807000.0,805.0,79,43,CA,P,PU,122024
139435945,250000.0,815.0,36,31,SC,P,PU,112024
139435946,261000.0,765.0,95,37,CO,P,SF,112024
139435947,388000.0,786.0,97,30,MD,P,SF,122024
139435948,421000.0,792.0,92,38,OH,R,SF,42024
139435949,260000.0,795.0,75,46,MA,P,CO,12025
139435950,462000.0,809.0,80,37,GA,R,PU,122024
139435951,300000.0,703.0,85,43,NC,P,PU,12025
139435952,157000.0,806.0,48,44,OH,C,SF,122024
139435953,188000.0,811.0,75,33,OH,P,SF,122024
139435954,122000.0,775.0,38,32,OR,P,CO,12025
139435955,235000.0,821.0,32,32,WI,R,SF,122024
139435956,748000.0,770.0,80,42,VA,P,SF,12025
139435957,501000.0,720.0,95,36,GA,P,PU,112024
139435958,262000.0,729.0,97,48,WI,P,SF,102024
139435959,111000.0,735.0,40,27,KY,P,CO,122024
139435960,793000.0,710.0,78,34,CO,C,PU,92024
139435961,300000.0,709.0,82,49,WI,R,SF,102024
139435962,237000.0,752.0,60,33,AZ,C,PU,122024
139435963,519000.0,802.0,89,43,MD,R,PU,122024
139435964,60000.0,659.0,13,41,VA,C,SF,122024
139435965,261000.0,780.0,95,45,WA,P,SF,122024
139435966,130000.0,759.0,75,39,IN,P,SF,122024
139435967,637000.0,804.0,95,40,NJ,P,SF,122024
139435968,325000.0,802.0,97,38,FL,P,PU,122024
139435969,678000.0,791.0,97,30,DC,P,SF,122024
139435970,525000.0,799.0,68,22,PA,P,PU,12025
139435971,122000.0,798.0,64,22,TX,P,SF,112024
139435972,440000.0,744.0,80,48,WA,P,SF,122024
139435973,72000.0,652.0,24,40,LA,R,SF,122024
139435974,167000.0,725.0,97,50,MN,P,SF,122024
139435975,95000.0,679.0,14,41,MA,C,SF,122024
139435976,179000.0,776.0,80,34,NY,P,SF,122024
139435977,127000.0,664.0,85,47,MI,P,SF,112024
139435978,344000.0,716.0,80,29,CA,P,CO,122024
139435979,230000.0,806.0,80,33,TX,P,SF,112024
139435980,518000.0,774.0,95,47,IA,P,SF,122024
139435981,155000.0,780.0,97,50,MI,P,SF,102024
139435982,426000.0,734.0,90,31,FL,R,PU,122024
139435983,556000.0,667.0,95,35,CO,P,PU,112024
139435984,464000.0,782.0,91,48,NC,R,PU,12025
139435985,70000.0,654.0,20,24,WA,C,CO,112024
139435986,288000.0,779.0,90,43,TX,P,PU,122024
139435987,135000.0,769.0,95,49,IL,P,CO,102024
139435988,522000.0,785.0,95,44,UT,P,SF,122024
139435989,299000.0,801.0,95,47,IL,P,CO,112024
139435990,225000.0,775.0,52,36,VA,P,SF,122024
139435991,357000.0,783.0,85,18,TX,P,PU,122024
139435992,474000.0,803.0,80,47,FL,P,PU,122024
139435993,352000.0,721.0,95,50,GA,P,PU,12025
139435994,210000.0,772.0,66,39,NC,C,PU,122024
139435995,247000.0,785.0,95,41,PA,P,CO,12025
139435996,157000.0,806.0,73,47,TX,P,SF,112024
139435997,348000.0,766.0,80,35,FL,P,PU,112024
139435998,218000.0,802.0,50,40,TX,P,PU,112024
