loan_id,reporting_period,delinquency_status,current_upb,update_date
139442469,12025,,334000.0,2025-04-01
139455373,92025,,760044.46,2025-04-01
139447195,12025,,245000.0,2025-04-01
139446608,22026,,172967.24,2025-04-01
139469623,72025,,284368.29,2025-04-01
139439640,12025,,734000.0,2025-04-01
139452964,122025,,257167.17,2025-04-01
139469137,22026,,518774.81,2025-04-01
139444452,12025,,480000.0,2025-04-01
139465075,62025,,80000.0,2025-04-01
139455868,32025,,122000.0,2025-04-01
139437183,122025,,321412.06,2025-04-01
139457349,12025,,627000.0,2025-04-01
139451669,32025,,419000.0,2025-04-01
139466894,52025,,185000.0,2025-04-01
139455771,82025,,303645.57,2025-04-01
139436943,62025,,196000.0,2025-04-01
139443097,92025,,547050.29,2025-04-01
139454930,32026,,391731.12,2025-04-01
139464558,12025,,172000.0,2025-04-01
139439190,12025,,60000.0,2025-04-01
139451729,12026,,401654.14,2025-04-01
139435914,12025,,307000.0,2025-04-01
139449838,92025,,744884.4,2025-04-01
139447528,102025,,224689.85,2025-04-01
139462876,52025,,587000.0,2025-04-01
139461811,122025,,160573.11,2025-04-01
139438181,122025,,286204.83,2025-04-01
139444375,42025,,764000.0,2025-04-01
139465267,52025,,751000.0,2025-04-01
139436795,112025,,309887.01,2025-04-01
139456209,122025,,294938.57,2025-04-01
139449710,12025,,559000.0,2025-04-01
139458770,52025,,223000.0,2025-04-01
139449172,122025,,257162.13,2025-04-01
139450013,12026,,219636.11,2025-04-01
139463984,42025,,66000.0,2025-04-01
139444936,42025,,140000.0,2025-04-01
139450340,72025,,768295.04,2025-04-01
139461344,102025,,564767.59,2025-04-01
139439496,12025,,377000.0,2025-04-01
139466986,82025,,693908.35,2025-04-01
139465963,92025,,189974.69,2025-04-01
139436730,72025,,699000.0,2025-04-01
139440640,92025,,151000.0,2025-04-01
139458044,112025,,175558.52,2025-04-01
139443774,52025,,127000.0,2025-04-01
139465599,82025,,527117.09,2025-04-01
139467945,32026,,292536.74,2025-04-01
139456836,82025,,127000.0,2025-04-01
139455409,102025,,211673.59,2025-04-01
139437905,32026,,274761.33,2025-04-01
139457618,112025,,776059.28,2025-04-01
139447641,22026,,266009.27,2025-04-01
139444900,72025,,572000.0,2025-04-01
139465628,82025,,792464.07,2025-04-01
139441237,102025,,476630.86,2025-04-01
139462589,112025,,244870.63,2025-04-01
139465557,12026,,182476.47,2025-04-01
139449050,22026,,797485.51,2025-04-01
139449995,82025,,409214.25,2025-04-01
139454571,12025,,694000.0,2025-04-01
139467977,62025,,288000.0,2025-04-01
139443417,82025,,307360.28,2025-04-01
139458875,72025,,254904.13,2025-04-01
139450364,82025,,74561.17,2025-04-01
139436646,32025,,111000.0,2025-04-01
139445566,22026,,100788.81,2025-04-01
139447020,82025,,941791.89,2025-04-01
139463723,42025,,216000.0,2025-04-01
139453619,62025,,326000.0,2025-04-01
139452241,22026,,460352.32,2025-04-01
139454142,12025,,389000.0,2025-04-01
139446814,22026,,73419.61,2025-04-01
139443666,62025,,348000.0,2025-04-01
139444448,92025,,413718.37,2025-04-01
139470044,32025,,154000.0,2025-04-01
139444804,62025,,579000.0,2025-04-01
139458597,12025,,444000.0,2025-04-01
139445032,42025,,759000.0,2025-04-01
139447952,12025,,285000.0,2025-04-01
139460567,62025,,371000.0,2025-04-01
139441549,62025,,249000.0,2025-04-01
139458760,72025,,199000.0,2025-04-01
139464686,42025,,109000.0,2025-04-01
139440567,32026,,421351.21,2025-04-01
139442618,32025,,195000.0,2025-04-01
139457914,22025,,620000.0,2025-04-01
139453752,112025,,218547.58,2025-04-01
139446799,82025,,131460.81,2025-04-01
139451123,82025,,319096.77,2025-04-01
139449795,12025,,224000.0,2025-04-01
139462486,72025,,710029.68,2025-04-01
139467369,42025,,324000.0,2025-04-01
139461592,22025,,220000.0,2025-04-01
139451877,92025,,249076.22,2025-04-01
139459766,22026,,215107.35,2025-04-01
139452748,22026,,172925.03,2025-04-01
139467274,42025,,159000.0,2025-04-01
139467791,52025,,105000.0,2025-04-01
139467308,42025,,79000.0,2025-04-01
139466906,22025,,251000.0,2025-04-01
139441611,82025,,198525.82,2025-04-01
139463968,52025,,390000.0,2025-04-01
139459755,12025,,425000.0,2025-04-01
139443913,112025,,163310.7,2025-04-01
139453589,72025,,204000.0,2025-04-01
139435784,92025,,130902.45,2025-04-01
139459335,52025,,207000.0,2025-04-01
139453035,102025,,527681.2,2025-04-01
139436332,52025,,805000.0,2025-04-01
139467814,72025,,297000.0,2025-04-01
139468627,72025,,111000.0,2025-04-01
139441005,22026,,242572.73,2025-04-01
139446381,92025,,67873.53,2025-04-01
139462274,62025,,298000.0,2025-04-01
139461160,112025,,59808.38,2025-04-01
139438372,12026,,346087.93,2025-04-01
139450109,112025,,728191.18,2025-04-01
139460549,62025,,236000.0,2025-04-01
139448698,112025,,198139.58,2025-04-01
139437662,12025,,49000.0,2025-04-01
139461138,102025,,237940.25,2025-04-01
139447672,82025,,352645.33,2025-04-01
139447448,122025,,221325.0,2025-04-01
139447371,32026,,646415.41,2025-04-01
139456295,32026,,106550.18,2025-04-01
139437904,22026,,306827.38,2025-04-01
139441481,82025,,231111.66,2025-04-01
139469955,42025,,227000.0,2025-04-01
139460887,62025,,234000.0,2025-04-01
139462056,72025,,267000.0,2025-04-01
139454004,92025,,463125.49,2025-04-01
139467079,52025,,630000.0,2025-04-01
139465539,72025,,536378.74,2025-04-01
139448849,12025,,99000.0,2025-04-01
139443262,102025,,131933.83,2025-04-01
139442636,22025,,765000.0,2025-04-01
139451733,92025,,264969.04,2025-04-01
139455122,22026,,682233.5,2025-04-01
139437891,22025,,305000.0,2025-04-01
139442799,12025,,249000.0,2025-04-01
139454690,102025,,263992.06,2025-04-01
139452449,62025,,382000.0,2025-04-01
139446120,102025,,195976.9,2025-04-01
139438030,112025,,571720.89,2025-04-01
139437604,32025,,120000.0,2025-04-01
139435721,72025,,260153.37,2025-04-01
139454076,102025,,100828.3,2025-04-01
139443572,42025,,114000.0,2025-04-01
139464744,52025,,299000.0,2025-04-01
139468336,62025,,133000.0,2025-04-01
139443931,32026,,49362.35,2025-04-01
139469590,22026,,505682.83,2025-04-01
139452671,102025,,594592.1,2025-04-01
139456073,92025,,119246.53,2025-04-01
139445183,52025,,296000.0,2025-04-01
139459665,22026,,63224.13,2025-04-01
139454804,92025,,124948.42,2025-04-01
139435828,32025,,160000.0,2025-04-01
139448227,52025,,176000.0,2025-04-01
139464686,102025,,107751.53,2025-04-01
139461297,72025,,446000.0,2025-04-01
139451798,42025,,186000.0,2025-04-01
139437158,32026,,130005.93,2025-04-01
139445203,72025,,509000.0,2025-04-01
139456327,12025,,313000.0,2025-04-01
139462277,52025,,274000.0,2025-04-01
139455568,102025,,76922.76,2025-04-01
139462138,122025,,144999.79,2025-04-01
139449080,32025,,299000.0,2025-04-01
139466581,12025,,336000.0,2025-04-01
139461343,22025,,276000.0,2025-04-01
139462335,22026,,870239.89,2025-04-01
139459879,102025,,152934.04,2025-04-01
139461941,122025,,95982.48,2025-04-01
139467790,12025,,98000.0,2025-04-01
139438791,52025,,145000.0,2025-04-01
139437777,122025,,159926.68,2025-04-01
139455376,92025,,230116.61,2025-04-01
139460235,32025,,216000.0,2025-04-01
139457510,92025,,214664.37,2025-04-01
139456467,112025,,381072.6,2025-04-01
139447783,62025,,179000.0,2025-04-01
139469573,122025,,275760.75,2025-04-01
139466191,72025,,150000.0,2025-04-01
139451177,42025,,254000.0,2025-04-01
139446542,22025,,402000.0,2025-04-01
139447209,12025,,611000.0,2025-04-01
139443272,52025,,128000.0,2025-04-01
139462411,12026,,294671.81,2025-04-01
139449488,122025,,305307.0,2025-04-01
139447408,52025,,149000.0,2025-04-01
139460952,32025,,247000.0,2025-04-01
139453374,12026,,566808.84,2025-04-01
139470102,102025,,484488.29,2025-04-01
139442840,22026,,782731.87,2025-04-01
139439150,12025,,165000.0,2025-04-01
139439332,82025,,723271.51,2025-04-01
139450740,42025,,1547000.0,2025-04-01
139438897,72025,,287260.1,2025-04-01
139460568,102025,,398889.8,2025-04-01
139443276,32025,,151000.0,2025-04-01
139450277,22026,,532002.64,2025-04-01
139437332,32026,,123940.64,2025-04-01
139462268,92025,,545974.22,2025-04-01
139458165,22025,,805000.0,2025-04-01
139457953,52025,,362000.0,2025-04-01
139449513,122025,,157523.8,2025-04-01
139458634,82025,,311155.72,2025-04-01
139465997,62025,,137000.0,2025-04-01
139468647,32026,,501239.53,2025-04-01
139459447,22026,,472257.07,2025-04-01
139457039,22026,,390400.36,2025-04-01
139443003,122025,,59429.32,2025-04-01
139459030,102025,,717175.63,2025-04-01
139441531,12025,,138000.0,2025-04-01
139449055,112025,,48263.61,2025-04-01
139443119,32025,,295000.0,2025-04-01
139444035,22025,,535000.0,2025-04-01
139457818,72025,,606000.0,2025-04-01
139444846,12025,,103000.0,2025-04-01
139462367,82025,,98907.17,2025-04-01
139453059,102025,,446346.84,2025-04-01
139435774,32026,,265271.24,2025-04-01
139459144,72025,,448000.0,2025-04-01
139449372,72025,,231000.0,2025-04-01
139447260,12025,,232000.0,2025-04-01
139438688,112025,,168383.18,2025-04-01
139470244,22025,,218000.0,2025-04-01
139459550,42025,,227000.0,2025-04-01
139456812,92025,,205507.8,2025-04-01
139446568,22026,,153042.56,2025-04-01
139458093,22026,,285207.03,2025-04-01
139442753,122025,,168054.36,2025-04-01
139441257,42025,,374000.0,2025-04-01
139466747,72025,,279366.14,2025-04-01
139435511,52025,,487000.0,2025-04-01
139457959,112025,,332757.25,2025-04-01
139459029,82025,,276758.77,2025-04-01
139445794,22026,,369922.32,2025-04-01
139455670,12025,,208000.0,2025-04-01
139456872,22026,,424901.32,2025-04-01
139452440,32025,,439000.0,2025-04-01
139458719,62025,,249000.0,2025-04-01
139466715,82025,,307151.29,2025-04-01
139445977,92025,,131591.41,2025-04-01
139467822,92025,,317466.43,2025-04-01
139452698,32026,,295424.05,2025-04-01
139459847,32026,,89115.2,2025-04-01
139454629,22026,,555399.08,2025-04-01
139467274,12026,,157988.57,2025-04-01
139457930,42025,,299000.0,2025-04-01
139443759,122025,,286190.91,2025-04-01
139455534,72025,,332000.0,2025-04-01
139468154,82025,,201083.78,2025-04-01
139460347,112025,,280214.97,2025-04-01
139463399,72025,,385000.0,2025-04-01
139443006,12026,,615508.36,2025-04-01
139442580,32025,,548000.0,2025-04-01
139467466,22026,,708590.45,2025-04-01
139462154,52025,,219000.0,2025-04-01
139469751,22025,,316000.0,2025-04-01
139440387,32026,,637124.63,2025-04-01
139466820,22025,,75000.0,2025-04-01
139464135,22025,,439000.0,2025-04-01
139441362,72025,,376000.0,2025-04-01
139456890,32025,,206000.0,2025-04-01
139441604,112025,,180554.8,2025-04-01
139467036,82025,,521638.51,2025-04-01
139435869,72025,,781266.29,2025-04-01
139453509,52025,,334000.0,2025-04-01
139443220,92025,,193353.24,2025-04-01
139449167,102025,,244398.88,2025-04-01
139448674,112025,,79189.85,2025-04-01
139462004,12026,,156173.32,2025-04-01
139443878,22026,,120209.48,2025-04-01
139460415,22026,,210070.04,2025-04-01
139445022,42025,,332000.0,2025-04-01
139446031,22026,,327422.22,2025-04-01
139457353,72025,,301000.0,2025-04-01
139447552,72025,,595000.0,2025-04-01
139438147,82025,,598318.6,2025-04-01
139448664,42025,,616000.0,2025-04-01
139437768,82025,,394102.69,2025-04-01
139440064,72025,,346000.0,2025-04-01
139441531,72025,,136000.0,2025-04-01
139459776,62025,,507000.0,2025-04-01
139468340,62025,,791000.0,2025-04-01
139448697,22025,,300000.0,2025-04-01
139447803,82025,,198560.79,2025-04-01
139464260,62025,,217000.0,2025-04-01
139452351,112025,,397255.1,2025-04-01
139462791,92025,,213215.06,2025-04-01
139437674,12025,,196000.0,2025-04-01
139454743,82025,,203116.33,2025-04-01
139443824,32026,,227193.0,2025-04-01
139443574,92025,,215037.13,2025-04-01
139438112,72025,,74000.0,2025-04-01
139467740,32025,,219000.0,2025-04-01
139464866,102025,,247086.52,2025-04-01
139444930,32025,,229000.0,2025-04-01
139443931,42025,,50000.0,2025-04-01
139447418,22025,,129000.0,2025-04-01
139466585,72025,,762000.0,2025-04-01
139447951,12025,,192000.0,2025-04-01
139468238,72025,,497000.0,2025-04-01
139468799,22025,,100000.0,2025-04-01
139449338,52025,,76000.0,2025-04-01
139453881,22026,,146969.36,2025-04-01
139470164,32026,,176403.72,2025-04-01
139454251,122025,,307202.38,2025-04-01
139448203,12026,,186581.48,2025-04-01
139468594,92025,,346720.31,2025-04-01
139450884,52025,,97000.0,2025-04-01
139461439,32025,,390000.0,2025-04-01
139469519,72025,,249000.0,2025-04-01
139467847,12026,,57622.95,2025-04-01
139459463,52025,,192000.0,2025-04-01
139444398,42025,,264000.0,2025-04-01
139463287,62025,,149000.0,2025-04-01
139452188,72025,,195109.09,2025-04-01
139448849,92025,,98531.76,2025-04-01
139465667,32025,,168000.0,2025-04-01
139452848,122025,,184339.14,2025-04-01
139444064,32025,,236000.0,2025-04-01
139445060,122025,,223018.51,2025-04-01
139440002,82025,,273000.0,2025-04-01
139445573,32025,,676000.0,2025-04-01
139444569,82025,,790243.62,2025-04-01
139469511,22025,,314000.0,2025-04-01
139445557,102025,,105316.93,2025-04-01
139463193,12025,,265000.0,2025-04-01
139436143,82025,,397664.31,2025-04-01
139448804,112025,,307196.01,2025-04-01
139440185,22025,,256000.0,2025-04-01
139438568,112025,,320182.83,2025-04-01
139456145,102025,,223380.88,2025-04-01
139460219,52025,,74000.0,2025-04-01
139437648,102025,,478270.89,2025-04-01
139447639,32026,,203740.12,2025-04-01
139465394,12025,,180000.0,2025-04-01
139445054,122025,,485530.82,2025-04-01
139437519,62025,,215000.0,2025-04-01
139456530,12026,,672514.67,2025-04-01
139462450,22025,,549000.0,2025-04-01
139440985,32026,,650919.73,2025-04-01
139458839,112025,,137880.48,2025-04-01
139442261,62025,,496000.0,2025-04-01
139435988,32026,,515028.18,2025-04-01
139457438,122025,,401641.97,2025-04-01
139439266,12025,,280000.0,2025-04-01
139439619,32025,,798000.0,2025-04-01
139463062,62025,,188000.0,2025-04-01
139451278,82025,,497000.0,2025-04-01
139464942,62025,,227000.0,2025-04-01
139455888,22025,,313000.0,2025-04-01
139439975,112025,,58363.2,2025-04-01
139467903,82025,,276000.0,2025-04-01
139447428,62025,,439000.0,2025-04-01
139457894,112025,,210258.54,2025-04-01
139437146,12026,,232711.43,2025-04-01
139451729,102025,,402925.39,2025-04-01
139458887,112025,,253749.26,2025-04-01
139466146,112025,,451834.36,2025-04-01
139459986,22026,,0.0,2025-04-01
139450309,42025,,256000.0,2025-04-01
139441135,22025,,500000.0,2025-04-01
139436162,72025,,151000.0,2025-04-01
139463031,112025,,254021.3,2025-04-01
139453815,32026,,227755.03,2025-04-01
139456351,42025,,161000.0,2025-04-01
139437279,32025,,168000.0,2025-04-01
139444982,32026,,299680.18,2025-04-01
139440305,92025,,183866.01,2025-04-01
139444839,102025,,175440.72,2025-04-01
139445024,82025,,87000.0,2025-04-01
139438249,22026,,207625.96,2025-04-01
139450161,32025,,199000.0,2025-04-01
139467680,32025,,328000.0,2025-04-01
139466908,42025,,285000.0,2025-04-01
139461490,52025,,574000.0,2025-04-01
139451953,12026,,204261.37,2025-04-01
139440950,92025,,249990.94,2025-04-01
139441977,12025,,187000.0,2025-04-01
139446259,22025,,256000.0,2025-04-01
139452354,102025,,232688.4,2025-04-01
139456530,92025,,674813.15,2025-04-01
139448653,32025,,474000.0,2025-04-01
139436337,82025,,688010.35,2025-04-01
139453874,72025,,108266.7,2025-04-01
139458598,122025,,313240.67,2025-04-01
139447102,82025,,104279.95,2025-04-01
139446321,112025,,74353.49,2025-04-01
139452152,42025,,615000.0,2025-04-01
139467403,12025,,658000.0,2025-04-01
139444476,102025,,256374.77,2025-04-01
139442413,32025,,75000.0,2025-04-01
139457750,82025,,292283.37,2025-04-01
139443773,62025,,79000.0,2025-04-01
139461896,122025,,758172.99,2025-04-01
139453390,112025,,149992.34,2025-04-01
139455513,112025,,713469.62,2025-04-01
139457674,22025,,260000.0,2025-04-01
139437952,72025,,212000.0,2025-04-01
139454154,32025,,85000.0,2025-04-01
139457372,32026,,257060.75,2025-04-01
139441808,12025,,75000.0,2025-04-01
139444239,62025,,599000.0,2025-04-01
139447568,102025,,76850.11,2025-04-01
139440421,122025,,609140.29,2025-04-01
139447711,12025,,140000.0,2025-04-01
139447847,72025,,795000.0,2025-04-01
139466145,62025,,566506.15,2025-04-01
139456224,112025,,331823.21,2025-04-01
139451339,12026,,398460.8,2025-04-01
139461784,12026,,309376.09,2025-04-01
139442231,12025,,147000.0,2025-04-01
139445125,12026,,296646.89,2025-04-01
139456670,52025,,540000.0,2025-04-01
139452984,32026,,332997.64,2025-04-01
139454557,32025,,248000.0,2025-04-01
139440036,22025,,535000.0,2025-04-01
139443225,62025,,261000.0,2025-04-01
139448679,102025,,223176.4,2025-04-01
139441655,72025,,245928.91,2025-04-01
139448844,12025,,70000.0,2025-04-01
139462087,32026,,413877.37,2025-04-01
139468025,32026,,422431.0,2025-04-01
139439648,32025,,234000.0,2025-04-01
139447359,12026,,775956.63,2025-04-01
139453710,12025,,164000.0,2025-04-01
139453198,22026,,201625.77,2025-04-01
139448032,62025,,395000.0,2025-04-01
139437160,72025,,572000.0,2025-04-01
139439162,32025,,795000.0,2025-04-01
139466053,22026,,355731.36,2025-04-01
139463357,92025,,0.0,2025-04-01
139463551,42025,,167000.0,2025-04-01
139441820,112025,,534705.89,2025-04-01
139457043,102025,,189146.62,2025-04-01
139465221,42025,,288000.0,2025-04-01
139451607,82025,,136405.45,2025-04-01
139465923,22026,,499593.94,2025-04-01
139460829,42025,,469000.0,2025-04-01
139460540,32026,,182790.33,2025-04-01
139457226,32026,,74876.36,2025-04-01
139466739,32025,,848000.0,2025-04-01
139462232,82025,,175165.18,2025-04-01
139468027,62025,,0.0,2025-04-01
139469023,82025,,391297.37,2025-04-01
139436599,72025,,198000.0,2025-04-01
139444162,22025,,325000.0,2025-04-01
139467026,42025,,370000.0,2025-04-01
139460759,32026,,478295.9,2025-04-01
139454074,52025,,643832.16,2025-04-01
139446129,22026,,225767.65,2025-04-01
139436444,72025,,73720.02,2025-04-01
139449921,12026,,44113.43,2025-04-01
139455259,82025,,342452.21,2025-04-01
139441457,72025,,330000.0,2025-04-01
139449160,32026,,780640.17,2025-04-01
139450828,122025,,320793.06,2025-04-01
139436676,92025,,52843.27,2025-04-01
139467833,52025,,551000.0,2025-04-01
139448065,32026,,0.0,2025-04-01
139456244,122025,,38017.81,2025-04-01
139469727,82025,,98000.0,2025-04-01
139450442,72025,,214000.0,2025-04-01
139464788,52025,,897000.0,2025-04-01
139446311,122025,,146314.23,2025-04-01
139456476,52025,,560000.0,2025-04-01
139447732,12025,,542000.0,2025-04-01
139449647,92025,,794813.22,2025-04-01
139469129,82025,,445789.03,2025-04-01
139449344,22026,,79084.35,2025-04-01
139464083,112025,,371608.01,2025-04-01
139462408,22026,,737212.16,2025-04-01
139449280,82025,,237421.22,2025-04-01
139454477,82025,,115321.35,2025-04-01
139436218,92025,,348164.77,2025-04-01
139445584,102025,,270348.09,2025-04-01
139466750,52025,,115000.0,2025-04-01
139439886,102025,,171709.8,2025-04-01
139470007,92025,,168337.72,2025-04-01
139437786,22026,,376284.99,2025-04-01
139436256,42025,,423000.0,2025-04-01
139449288,122025,,481112.03,2025-04-01
139442792,92025,,267409.41,2025-04-01
139444694,12025,,487000.0,2025-04-01
139437671,72025,,462646.74,2025-04-01
139440277,72025,,252664.33,2025-04-01
139441822,22026,,378898.96,2025-04-01
139456690,22025,,122000.0,2025-04-01
139469436,102025,,756498.73,2025-04-01
139445247,112025,,180139.36,2025-04-01
139468506,102025,,74460.48,2025-04-01
139451801,72025,,308000.0,2025-04-01
139468352,12025,,306000.0,2025-04-01
139462626,82025,,220360.32,2025-04-01
139464192,82025,,677469.52,2025-04-01
139444585,62025,,340000.0,2025-04-01
139447060,52025,,159000.0,2025-04-01
139454600,42025,,239000.0,2025-04-01
139461162,102025,,721632.42,2025-04-01
139452433,32026,,222317.75,2025-04-01
139458801,42025,,275000.0,2025-04-01
139465387,12026,,355877.41,2025-04-01
139449648,82025,,292676.0,2025-04-01
139454731,52025,,345000.0,2025-04-01
139459645,92025,,198560.79,2025-04-01
139436153,102025,,178978.21,2025-04-01
139449493,122025,,345609.52,2025-04-01
139439566,12026,,682977.32,2025-04-01
139465338,32025,,252000.0,2025-04-01
139467953,32025,,411000.0,2025-04-01
139444187,52025,,360000.0,2025-04-01
139457744,62025,,164000.0,2025-04-01
139447486,122025,,217541.0,2025-04-01
139453360,62025,,285000.0,2025-04-01
139455131,62025,,259053.68,2025-04-01
139451966,12025,,256000.0,2025-04-01
139447331,92025,,633106.14,2025-04-01
139469349,72025,,234000.0,2025-04-01
139450470,122025,,593999.93,2025-04-01
139455576,52025,,363000.0,2025-04-01
139446734,12025,,618000.0,2025-04-01
139443153,32025,,244000.0,2025-04-01
139468097,102025,,377853.91,2025-04-01
139465242,112025,,178556.54,2025-04-01
139464173,112025,,113796.75,2025-04-01
139454481,72025,,152000.0,2025-04-01
139452869,32025,,181000.0,2025-04-01
139437673,32025,,130000.0,2025-04-01
139445444,52025,,131000.0,2025-04-01
139439933,22026,,643641.34,2025-04-01
139446144,12026,,238900.31,2025-04-01
139436133,32026,,550735.23,2025-04-01
139461401,52025,,165000.0,2025-04-01
139454862,112025,,144057.25,2025-04-01
139442039,12026,,442198.35,2025-04-01
139458013,92025,,177132.35,2025-04-01
139447022,22025,,257000.0,2025-04-01
139462210,22026,,617872.8,2025-04-01
139459626,92025,,182003.35,2025-04-01
139461457,82025,,190867.07,2025-04-01
139441743,52025,,384000.0,2025-04-01
139440373,12025,,315000.0,2025-04-01
139462241,52025,,118000.0,2025-04-01
139443573,52025,,115000.0,2025-04-01
139450037,22026,,1030622.85,2025-04-01
139457646,72025,,537000.0,2025-04-01
139441197,22026,,60078.22,2025-04-01
139438998,82025,,195000.0,2025-04-01
139445716,32026,,74037.3,2025-04-01
139462253,102025,,259463.64,2025-04-01
139465718,62025,,378000.0,2025-04-01
139465091,52025,,215000.0,2025-04-01
139443145,32026,,139317.18,2025-04-01
139448426,82025,,291000.0,2025-04-01
139465515,102025,,198628.51,2025-04-01
139446124,102025,,170836.25,2025-04-01
139444705,82025,,250353.93,2025-04-01
139449631,92025,,103269.33,2025-04-01
139449421,92025,,245835.94,2025-04-01
139469642,122025,,273840.86,2025-04-01
139470038,42025,,797000.0,2025-04-01
139465183,22025,,315000.0,2025-04-01
139461741,12026,,158588.23,2025-04-01
139455042,32026,,281487.53,2025-04-01
139436971,32026,,314911.52,2025-04-01
139439993,22025,,469000.0,2025-04-01
139449100,72025,,513000.0,2025-04-01
139440594,112025,,338957.42,2025-04-01
139451598,12025,,178000.0,2025-04-01
139443673,52025,,657000.0,2025-04-01
139439667,42025,,320000.0,2025-04-01
139441080,52025,,242000.0,2025-04-01
139465102,42025,,195000.0,2025-04-01
139436130,22026,,215497.21,2025-04-01
139453475,92025,,178146.18,2025-04-01
139458896,12026,,614997.17,2025-04-01
139442211,12025,,285000.0,2025-04-01
139440949,62025,,367000.0,2025-04-01
139456361,12025,,359000.0,2025-04-01
139448080,122025,,270992.96,2025-04-01
139458573,102025,,33557.23,2025-04-01
139440101,112025,,131797.03,2025-04-01
139465959,62025,,436000.0,2025-04-01
139465372,32025,,348000.0,2025-04-01
139451389,22026,,93117.68,2025-04-01
139452801,42025,,548000.0,2025-04-01
139455500,12025,,718000.0,2025-04-01
139459756,52025,,314000.0,2025-04-01
139440055,112025,,404648.73,2025-04-01
139445286,32025,,139000.0,2025-04-01
139437759,12026,,95965.28,2025-04-01
139444686,122025,,153177.43,2025-04-01
139458534,112025,,312693.63,2025-04-01
139462751,32025,,763000.0,2025-04-01
139465278,62025,,286000.0,2025-04-01
139460793,32025,,209000.0,2025-04-01
139459115,72025,,120000.0,2025-04-01
139439269,52025,,90000.0,2025-04-01
139455119,22026,,497671.5,2025-04-01
139440728,52025,,134000.0,2025-04-01
139451909,102025,,390822.3,2025-04-01
139438359,42025,,158000.0,2025-04-01
139462083,22025,,664000.0,2025-04-01
139442245,82025,,641064.66,2025-04-01
139453629,92025,,183715.85,2025-04-01
139438335,32025,,384000.0,2025-04-01
139460645,92025,,183999.41,2025-04-01
139437177,72025,,590000.0,2025-04-01
139466404,12026,,98785.78,2025-04-01
139457211,112025,,549750.71,2025-04-01
139469071,42025,,230000.0,2025-04-01
139437643,22025,,263000.0,2025-04-01
139451486,122025,,408779.89,2025-04-01
139451484,32025,,177000.0,2025-04-01
139437278,32025,,283000.0,2025-04-01
139464070,82025,,225584.7,2025-04-01
139441808,12026,,74161.6,2025-04-01
139442536,42025,,85000.0,2025-04-01
139453506,52025,,436000.0,2025-04-01
139436357,82025,,68205.83,2025-04-01
139439870,12025,,174000.0,2025-04-01
139465434,22026,,132880.63,2025-04-01
139454350,12025,,440000.0,2025-04-01
139462212,22026,,543710.7,2025-04-01
139462588,32026,,215320.09,2025-04-01
139436904,12025,,360000.0,2025-04-01
